"Leeftijd";"Perioden";"aantal"
"Totaal alle leeftijden";"1996";"239"
"Totaal alle leeftijden";"1997";"264"
"Totaal alle leeftijden";"1998";"212"
"Totaal alle leeftijden";"1999";"227"
"Totaal alle leeftijden";"2000";"233"
"Totaal alle leeftijden";"2001";"225"
"Totaal alle leeftijden";"2002";"195"
"Totaal alle leeftijden";"2003";"219"
"Totaal alle leeftijden";"2004";"180"
"Totaal alle leeftijden";"2005";"181"
"Totaal alle leeftijden";"2006";"216"
"Totaal alle leeftijden";"2007";"189"
"Totaal alle leeftijden";"2008";"181"
"Totaal alle leeftijden";"2009";"185"
"Totaal alle leeftijden";"2010";"162"
"Totaal alle leeftijden";"2011";"200"
"Totaal alle leeftijden";"2012";"200"
"Totaal alle leeftijden";"2013";"184"
"Totaal alle leeftijden";"2014";"185"
"Totaal alle leeftijden";"2015";"185"
"Totaal alle leeftijden";"2016";"189"
"Totaal alle leeftijden";"2017";"206"
"Totaal alle leeftijden";"2018";"228"
"Totaal alle leeftijden";"2019";"203"
"Totaal alle leeftijden";"2020";"229"
"Totaal alle leeftijden";"2021";"207"
"Totaal alle leeftijden";"2022";"290"
"Totaal alle leeftijden";"2023";"270"
"Jonger dan 15 jaar";"1996";"30"
"Jonger dan 15 jaar";"1997";"35"
"Jonger dan 15 jaar";"1998";"22"
"Jonger dan 15 jaar";"1999";"38"
"Jonger dan 15 jaar";"2000";"30"
"Jonger dan 15 jaar";"2001";"19"
"Jonger dan 15 jaar";"2002";"20"
"Jonger dan 15 jaar";"2003";"21"
"Jonger dan 15 jaar";"2004";"22"
"Jonger dan 15 jaar";"2005";"14"
"Jonger dan 15 jaar";"2006";"17"
"Jonger dan 15 jaar";"2007";"16"
"Jonger dan 15 jaar";"2008";"13"
"Jonger dan 15 jaar";"2009";"16"
"Jonger dan 15 jaar";"2010";"9"
"Jonger dan 15 jaar";"2011";"10"
"Jonger dan 15 jaar";"2012";"13"
"Jonger dan 15 jaar";"2013";"5"
"Jonger dan 15 jaar";"2014";"13"
"Jonger dan 15 jaar";"2015";"9"
"Jonger dan 15 jaar";"2016";"6"
"Jonger dan 15 jaar";"2017";"4"
"Jonger dan 15 jaar";"2018";"10"
"Jonger dan 15 jaar";"2019";"7"
"Jonger dan 15 jaar";"2020";"7"
"Jonger dan 15 jaar";"2021";"7"
