Year;Normal city bike;Hybride bike;Child and youth bike;E-bike;Others
2007;850000;120000;230000;90000;100000
2008;750000;230000;200000;110000;110000
2009;650000;220000;180000;150000;105000
2010;630000;140000;160000;150000;105000
2011;630000;105000;160000;180000;105000
2012;540000;90000;140000;175000;100000
2013;510000;85000;125000;190000;100000
2014;535000;80000;120000;210000;100000
2015;410000;55000;130000;285000;105000
2016;400000;60000;110000;280000;95000
2017;400000;35000;120000;300000;100000
2018;340000;27000;110000;405000;110000
2019;330000;21000;110000;420000;105000
2020;300000;20000;110000;550000;5000
2021;250000;19000;100000;480000;3000
2022;205000;15000;85000;490000;10000
